engine,model_key,run_dir,native_output_tokens,char_count,word_count,native_tokens_per_char,native_tokens_per_word
rtsm,gpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T161825Z_a-research-vessel-recovered-a-tr,626,3032,448,0.20646437994722955,1.3973214285714286
agc,gpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T161840Z_a-research-vessel-recovered-a-tr,218,589,103,0.3701188455008489,2.116504854368932
lvtc,gpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T161908Z_a-research-vessel-recovered-a-tr,163,110,3,1.481818181818182,54.333333333333336
srpf,gpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T161919Z_a-research-vessel-recovered-a-tr,179,862,142,0.20765661252900233,1.2605633802816902
rtsm,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T161950Z_a-research-vessel-recovered-a-tr,518,2970,405,0.1744107744107744,1.2790123456790123
agc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\agc_20260404T162058Z_a-research-vessel-recovered-a-tr,230,95,10,2.4210526315789473,23.0
lvtc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T162232Z_a-research-vessel-recovered-a-tr,122,160,20,0.7625,6.1
srpf,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\srpf_20260404T162307Z_a-research-vessel-recovered-a-tr,538,1020,116,0.5274509803921569,4.637931034482759
rtsm,distilgpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T162542Z_a-research-vessel-recovered-a-tr,489,2757,383,0.17736670293797607,1.276762402088773
agc,distilgpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T162557Z_a-research-vessel-recovered-a-tr,115,530,72,0.2169811320754717,1.5972222222222223
